,ticker,cik
0,aapl,320193
1,msft,789019
2,amzn,1018724
3,goog,1652044
4,tsla,1318605
5,fb,1326801
6,tcehy,1293451
7,baba,1577552
8,tsm,1046179
9,brk-a,1067983
10,v,1403161
11,jnj,200406
12,wmt,104169
13,jpm,19617
14,spy,884394
15,ma,1141391
16,unh,731766
17,pg,80424
18,nvda,1045810
19,lvmuy,824046
20,dis,1744489
21,hd,354950
22,bac,70858
23,pypl,1633917
24,idcby,1445468
25,vz,732712
26,cmcsa,1166691
27,nke,320187
28,adbe,796343
29,nflx,1065280
30,pdd,1737806
31,ko,21344
32,tm,1094517
33,asml,937966
34,nvs,1114448
35,intc,50863
36,mrk,310158
37,pfe,78003
38,t,732717
39,crm,1108524
40,tmo,97745
41,orcl,1341439
42,xom,34088
43,abt,1800
44,pep,77476
45,cichy,1445474
46,orcl,1341439
47,csco,858877
48,abbv,1551152
49,cihky,1495688
50,bhp,811809
51,avgo,1730168
52,lly,59478
53,qcom,804328
54,cvx,93410
55,acn,1467373
56,dhr,313616
57,acgby,1501437
58,tmus,1283699
59,cost,909832
60,nvo,353278
61,mdt,1613103
62,mcd,63908
63,nee,753308
64,txn,97476
65,rtntf,887028
66,sap,1000184
67,ul,217410
68,rds-a,1306965
69,bbl,1171264
70,hon,773840
71,bmy,14272
72,unp,100885
73,shop,1594805
74,lfc,1268896
75,lin,1707925
76,bud,1668717
77,amgn,318154
78,c,831001
79,jd,1549802
80,wfc,72971
81,ups,1090727
82,ms,895421
83,sftby,1065521
84,bachy,1378999
85,azn,901832
86,pm,1413329
87,chtr,1091667
88,sne,313838
89,qqq,1067839
90,sbux,829224
91,low,60667
92,sny,1121404
93,ry,1000275
94,tot,879764
95,ba,12927
96,blk,1364742
97,ibm,51143
98,hesay,1436949
99,amd,2488
100,hsbc,1089113
101,ptr,1108329
102,schw,316709
103,chl,1117795
104,sq,1512673
105,se,1703399
106,hdb,1144967
107,td,947263
108,rtx,101829
109,cat,18230
110,rio,863064
111,now,1373715
112,chdry,1450488
113,intu,896878
114,ge,40545
115,zm,1585521
116,gs,886982
117,cvs,64803
118,axp,4962
119,vale,917851
120,tgt,27419
121,deo,835403
122,isrg,1035267
123,amt,1053507
124,mmm,66740
125,gsk,1131399
126,byddy,1445162
127,el,1001250
128,lmt,936468
129,uber,1543151
130,dnngy,1679771
131,de,315189
132,nio,1736541
133,syk,310764
134,bkng,1075531
135,frcoy,1446595
136,ppruy,1445465
137,abnb,1559720
